old,modern
fellowes,fellows
Parrats,parrots
bag-piper,bagpiper
vineger,vinegar
shew,show
Lorenso,Lorenzo
Sala,SALERIO
deere,dear
signiors,signors
leysures,leisures
Salarino,Salerio
Lor,LORENZO
loose,lose
Beleeue,Believe
Grati,GRATIANO
foole,fool
wrinckles,wrinkles
Liuer,liver
heate,heat
coole,cool
grones,groans
bloud,blood
warme,warm
Iaundies,jaundice
peeuish,peevish
creame,cream
onely,only
verie,very
dam,damn
eares,ears
dumbe,dumb
keepe,keep
Ile,I'll
neats,neat's
dri'd,dried
Bas,BASSANIO
deale,deal
chaffe,chaff
seeke,seek
tel,tell
shewing,showing
mone,moan
abridg'd,abridged
cheefe,chief
fairely,fairly
prodigall,prodigal
vnburthen,unburden
cleere,clear
assur'd,assured
vnlock'd,unlocked
Bass,BASSANIO
selfesame,selfsame
aduised,advised
aduenturing,adventuring
vrge,urge
followes,follows
wilfull,wilful
shoote,shoot
selfe,self
debter,debtor
faire,fair
vndervallewd,undervalued
sutors,suitors
Cholchos,Colchos
Iasons,Jasons
riuall,rival
questionlesse,questionless
Anth,ANTONIO
knowst,know'st
Goe,Go
enquire,inquire
Glou,GLOUCESTER
appeares,appears
weigh'd,weighed
bin,been
blush'd,blushed
wherevpon,whereupon
Sonne,son
vndone,undone
deerer,dearer
Knaue,knave
horson,whoreson
Doe,Do
heereafter,hereafter
seruices,services
Edm,EDMUND
againe,again
Kingdome,kingdom
yonger,younger
Cornwal,Cornwall
houre,hour
preuented,prevented
Riuals,rivals
soiourne,sojourn
answer'd,answered
bountie,bounty
Gon,GONERILL
libertie,liberty
valewed,valued
honor,honour
poore,poor
vnable,unable
Riuers,rivers
Meades,meads
Albanies,Albany's
perpetuall,perpetual
sayes,says
deerest,dearest
Reg,REGAN
prize,price
professes,possesses
loue's,love's
validitie,validity
conferr'd,conferred
Ioy,joy
Cor,CORDELIA
heaue,heave
Maiesty,majesty
Least,Lest
marre,mar
lou'd,loved
backe,back
Happily,Haply
dowre,dower
Orbes,orbs
Paternall,paternal
bosome,bosom
graue,grave
Fathers,father's
Albanie,Albany
Preheminence,Pre-eminence
troope,troop
reseruation,reservation
sustain'd,sustained
retaine,retain
confirme,confirm
vnmannerly,unmannerly
dutie,duty
bowes,bows
plainnesse,plainness
reserue,Reserve
checke,check
iudgement,judgement
Reuerbe,Reverb
remaine,remain
blanke,blank
Lent,KENT
Physition,physician
reuoke,Revoke
guift,gift
whil'st,whilst
strain'd,strained
sentences,sentence
potencie,potency
prouision,provision
Iupiter,Jupiter
approue,approve
Gloster,Gloucester
addresse,address
riuald,rivalled
ought,aught
piec'd,pieced
Bur,BURGUNDY
Dow'rd,Dowered
stranger'd,strangered
Le,LEAR
powre,power
asham'd,ashamed
Fra,FRANCE
balme,balm
vnnaturall,unnatural
fore-voucht,fore-vouched
beleeue,believe
will,well
knowne,known
murther,murder
foulenesse,foulness
vnchaste,unchaste
depriu'd,deprived
leaues,leaves
vnspoke,unspoke
Aloofe,Aloof
herselfe,herself
Burgundie,Burgundy
choise,choice
lawfull,lawful
enflam'd,inflamed
throwne,thrown
vnkinde,unkind
loosest,losest
Haue,Have
farwell,farewell
loth,loath
Loue,Love
bosomes,bosoms
Regn,REGAN
receiu'd,received
couers,covers
Exit,Exeunt
certaine,certain
moneth,month
receiue,receive
vnconstant,unconstant
Kents,Kent's
beares,bears
auntient,ancient
mans,man's
eare,ear
Feastiuals,festivals
restoratiues,restoratives
Witts,wit's
rimes,rhymes
Citie,city
fayrest,fairest
dyed,died
heyre,heir
tooke,took
prouoke,provoke
custome,custom
sinne,sin
beautie,beauty
maryage,marriage
preuent,prevent
testifie,testify
iustifie,justify
Iustice,Justice
perswade,persuade
Slen,SLENDER
himselfe,himself
don't,done't
Euans,EVANS
Shal,SHALLOW
Euan,EVANS
ha's,has
beneuolence,benevolence
Councell,Council
sword,swort
deuice,device
praine,prain
peraduenture,peradventure
ferry,fery
deaths-bed,death's-bed
betweene,between
Mistris,Mistress
seauen,seven
Iohn,John
go't's,Got's
peraduentures,peradventures
Mistresse,Mistress
alwaies,always
out-run,outrun
hee,he
beleeue,Believe
complaine,complain
kill'd,killed
deere,deer
Fal,FALSTAFF
laugh'd,laughed
Pist,PISTOL
Vmpires,umpires
vnderstand,understand
priefe,prief
note-booke,notebook
wil,will
heares,hears
Teuill,tevil
gloues,gloves
Shouelboords,shovel-boards
auis'd,advised
passe,pass
drunke,drunk
fiue,five
Bar,BARDOLPH
Latten,Latin
ciuill,civil
wel,well
booke,Book
Cozen,cousin
saies,says
Countrie,country
parcell,parcel
therfore,Therefore
Cosen,cousin
conceiue,conceive
bee,be
Heauen,heaven
wee,we
dissolued,dissolved
hang'd,hanged
yong,young
An,ANNE
hartely,heartily
meate,meat
barke,bark
Beare,bear
past,passed
indeede,indeed
ill-fauour'd,ill-favoured
cocke,cock
foure,Four
daies,days
Step-dame,stepdame
dreame,dream
Moone,moon
siluer,silver
The,THESEUS
Turne,Turn
iniuries,injuries
pompe,pomp
reuelling,revelling
Ege,EGEUS
childe,child
marrie,marry
Moone-light,moonlight
faining,feigning
fantasie,fantasy
haire,hair
gawdes,gauds
Knackes,Knacks
Turn'd,Turned
priuiledge,privilege
prouided,provided
compos'd,composed
Her,HERMIA
look'd,looked
eies,eyes
dye,die
abiure,abjure
yeeld,yield
fathers,father's
hymnes,hymns
vndergo,undergo
soule,soul
euerlasting,everlasting
aie,aye
yeelde,yield
Lys,LYSANDER
deriu'd,derived
belou'd,beloved
Ladie,lady
Deuoutly,Devoutly
priuate,private
yeelds,yields
imploy,employ
raine,rain
Beteeme,Beteem
historie,history
crosse,cross
spight,spite
sicknesse,sickness
momentarie,momentany
iawes,jaws
deuoure,devour
destinie,destiny
triall,trial
reuennew,revenue
sharpe,sharp
lou'st,lovest
Steale,Steal
towne,town
meete,meet
sweare,swear
Cupids,Cupid's
simplicitie,simplicity
Doues,doves
soules,souls
loue,loves
burn'd,burned
seene,seen
ayre,air
hauthorne,hawthorn
fauor,favour
tongues,tongue's
melodie,melody
loues,loves
Hel,HELENA
frownes,frowns
giues,gives
wold,Would
wer,were
flie,fly
Seem'd,Seemed
mindes,minds
pearle,pearl
Louers,lovers
conceale,conceal
lye,lie
lucke,luck
Keepe,Keep
starue,starve
deepe,deep
dotes,dote
Hele,HELENA
thinkes,thinks
doth,do
Hermias,Hermia's
vilde,vile
forme,form
wing'd,winged
blinde,blind
vnheedy,unheedy
boyes,boys
lookt,looked
Haile,hail
his,this
paine,pain
chiefe,chief
superfluitie,superfluity
guesse,guess
gaine,gain
proceede,proceed
Seruices,services
beeing,being
Famouslie,famously
Countrey,country
tyre,tire
Showts,Shouts
showts,shouts
Men,MENENIUS
Countrimen,countrymen
Speake,Speak
busines,business
vnknowne,unknown
Menen,MENENIUS
staues,staves
Curbes,curbs
armes,arms
Helmes,helms
Vsurie,usury
prouide,provide
accus'd,accused
serues,serves
scale't,stale't
bodies,body's
Rebell'd,Rebelled
Gulfe,gulf
vnactiue,unactive
Vnto,Unto
ne're,ne'er
enuied,envied
maligne,malign
Bellies,belly's
helpes,helps
Fabricke,fabric
restrain'd,restrained
you'l,you'll
seate,seat
Braine,brain
Nerues,nerves
deliuer,deliver
Counsailes,counsels
publique,public
formost,foremost
Rascall,rascal
stiffe,stiff
battell,battle
Mar,MARTIUS
coale,coal
Vertue,virtue
encrease,increase
euill,evil
finnes,fins
Leade,lead
Minde,mind
seuerall,several
feede,feed
Corne,corn
wherof,whereof
They'l,They'll
ther's,there's
vse,use
Quarrie,quarry
picke,pick
perswaded,persuaded
dissolu'd,dissolved
Prouerbes,proverbs
wals,walls
dogges,dogs
eate,eat
Corne,Corn
breake,break
graunted,granted
Iunius,Junius
preuayl'd,prevailed
Theames,themes
Insurrections,insurrection's
Mess,MESSENGER
newes,news
Volcies,Volsces
mustie,musty
Volces,Volsces
Auffidius,Aufidius
enuying,envying
Com,COMINIUS
vpon,Upon
warres,wars
Lucius,Lartius
tother,t'other
behinde,behind
Bru,BRUTUS
Sicin,SICINIUS
growne,grown
brooke,brook
vnder,Under
aymes,aims
Generals,general's
performe,perform
vtmost,utmost
Oh,O
stickes,sticks
halfe,Half
Honors,honours
earn'd,earned
weares,wears
coniur'd,conjured
breath'd,breathed
vntyreable,untirable
goodnesse,goodness
Iewel,JEWELLER
staines,stains
heere,Here
Pain,PAINTER
Poesie,poesy
chases,chafes
Booke,book
Speakes,Speaks
shootes,shoots
bigge,big
Moues,Moves
Liues,Lives
hugge,hug
Leauing,Leaving
vnboult,unbolt
Mindes,minds
Graue,grave
qualitie,quality
downe,down
returnes,returns
Timons,Timon's
Feign'd,Feigned
thron'd,throned
rank'd,ranked
among'st,Amongst
Iuory,ivory
conceyu'd,conceived
becken'd,beckoned
climbe,climb
happinesse,happiness
exprest,expressed
Fellowes,fellows
valew,value
styrrop,stirrup
Drinke,Drink
labour'd,laboured
Mountaines,mountain's
Euen,Even
hand,hands
meane,mean
aboue,above
straite,strait
Tim,TIMON
ransome,ransom
enfranchized,enfranchised
Honor,honour
deserues,deserves
Heyre,heir
conferre,confer
leuities,levity's
Beggers,beggars
dispossesse,dispossess
straine,strain
Luc,LUCILIUS
That,The
Naturall,natural
Waite,Wait
Iewell,jewel
extold,extolled
vnclew,unclew
mock'd,mocked
toong,tongue
Knaues,knaves
know'st,knowest
call'd,called
knocke,knock
lik'st,likest
Mothers,mother's
lasciuious,lascivious
apprehend'st,apprehendest
cast,cost
fegin'd,feigned
feign'd,feigned
Heauens,Heavens
Mer,MERCHANT
Trafficke,traffic
Trumpets,trumpet's
entertaine,entertain
Shew,Show
ioyfull,joyful
their,there
Curtesie,courtesy
omitst,omittest
Foole,fool
Comes,Come
raste,taste
powres,pours
Nauarre,Navarre
Tombes,tombs
deuouring,devouring
eternitie,eternity
warre,war
Nauar,Navarre
Achademe,academe
oathes,oaths
heerein,herein
sworne,sworn
yeeres,years
worlds,world's
slaues,slaves
ouer,over
obseruances,observances
terme,term
weeke,week
foode,food
meale,meal
houres,hours
harme,harm
darke,dark
taskes,tasks
Berow,BEROWNE
Longa,LONGAVILLE
than,then
iest,jest
Ber,BEROWNE
studie,study
Mistresse,mistress
Sweare,Swear
nere,ne'er
traine,train
seeeking,seeking
darkenesse,darkness
Studie,Study
dazling,dazzling
heauens,heaven's
Sunne,sun
authoritie,authority
Bookes,books
hee's,he's
Dum,DUMAINE
enuious,envious
growes,grows
barbarisme,barbarism
Angell,angel
pennance,penance
reade,read
yeelding,yielding
deuis'd,devised
gentilitie,gentility
tearme,term
indure,endure
deuise,devise
Embassie,embassy
Kings,King's
Maide,maid
townes,towns
dispence,dispense
forsworne,forsworn
mastred,mastered
speciall,special
breake,speak
Lawes,laws
breakes,breaks
eternall,eternal
others,other
hanted,haunted
braine,brain
musicke,music
rauish,ravish
complements,compliments
vmpire,umpire
mutinie,mutiny
high-borne,high-born
swaine,swain
soeuer,soever
forbeare,forbear
stile,style
Iaquenetta,Jaquenetta
Mannor,manor
Parke,park
harken,hearken
Cost,COSTARD
mens,men's
blacke,black
Physicke,physic
grase,graze
pecke,peck
euent,event
Inke,ink
suruayest,surveyest
Minow,minnow
vnderstanding,understanding
vessell,vessel
Adriana,Adriano
shee,she
denie,deny
Virginitie,virginity
serue,serve
Kin,KING
proue,prove
sowre,sour
Crownes,crowns
saist,sayest
sadnesse,sadness
schoole,school
keepes,keeps
vnkept,unkept
mannage,manage
dunghils,dunghills
seemes,seems
grieues,grieves
seruitude,servitude
auoid,avoid
Orl,ORLANDO
Orlan,ORLANDO
huskes,husks
Oli,OLIVER
allowes,allows
confesse,confess
comming,coming
puld,pulled
raild,railed
pezant,peasant
gentleman-like,gentlemanlike
dogge,dog
seruice,service
olde,old
ranckenesse,rankness
Den,DENNIS
Cha,CHARLES
Mounsier,Monsieur
themselues,themselves
reuenues,revenues
Dukes,Duke's
hee,she
Forrest,Forest
carelesly,carelessly
disguis'd,disguised
wrastle,wrestle
limbe,limb
runne,run
Brothers,brother's
disswade,dissuade
liefe,lief
mightilie,mightily
poyson,poison
tane,ta'en
villanous,villainous
anathomize,anatomize
weepe,weep
stirre,stir
wrastler,wrestler
cleare,clear
Mechanicall,mechanical
signe,sign
Apparrell,apparel
Cob,COBBLER
knaue,knave
meanst,meanest
Cobler,cobbler
Aule,awl
Tradesmans,tradesman's
womens,women's
shooes,shoes
recouer,recover
weare,wear
Holy-day,holiday
reioyce,rejoice
Captiue,captive
Blockes,blocks
liue-long,livelong
Vniuersall,universal
Tyber,Tiber
vnderneath,underneath
bankes,banks
attyre,attire
Holyday,holiday
Runne,Run
Channell,channel
tongue-tyed,tongue-tied
guiltinesse,guiltiness
driue,drive
perceiue,perceive
thicke,thick
Casars,Caesar's
excesse,excess
surfetting,surfeiting
ore,o'er
falles,falls
fancie,fancy
Cu,CURIO
Oliuia,Olivia
turn'd,turned
Ere,E'er
Cloystresse,cloistress
brothers,brother's
soueraigne,sovereign
sweete,sweet
canopy'd,canopied
bowres,bowers
Fran,FRANCISCO
Bar,BARNARDO
releefe,relief
sicke,sick
Barn,BARNARDO
hast,haste
Hor,HORATIO
farwel,farewell
relieu'd,relieved
giue,Give
Fantasie,fantasy
beleefe,belief
Starre,star
burnes,burns
Marke,Mark
Hora,HORATIO
harrowes,harrows
vsurp'st,usurpest
Denmarke,Denmark
stalkes,stalks
auouch,avouch
frown'd,frowned
smot,smote
Pollax,pole-axe
grosse,gross
boades,bodes
knowes,knows
diuide,divide
informe,inform
prick'd,pricked
esteem'd,esteemed
forfeite,forfeit
those,these
Moity,moiety
Cou'nant,covenant
Enterprize,enterprise
stomacke,stomach
Loe,lo
priuy,privy
vp-hoorded,uphoarded
Maiesticall,majestical
Ayre,air
Cocke,cock
Throate,throat
extrauagant,extravagant
Obiect,object
sayes,say
wholsome,wholesome
Charme,charm
hallow'd,hallowed
the,that
Loues,loves
conueniently,conveniently
Wer't,Were't
chaines,chains
dayes,days
glaunces,glances
sluggardiz'd,sluggardized
Weare,Wear
thriue,thrive
Pro,PROTEUS
Protheus,Proteus
hap'ly,haply
do'st,dost
grieuance,grievance
beades-man,beadsman
loue-booke,love-book
Storie,story
crost,crossed
moments,moment's
watchfull,watchful
grieuous,grievous
counsaile,counsel
Millaine,Milan
visite,visit
dignifie,dignify
Iulia,Julia
metamorphis'd,metamorphosed
Warre,War
ship'd,shipped
And,An
Shepheard,shepherd
Sp,SPEED
hornes,horns
answere,answer
proues,proves
Sheepe,sheep
proofe,proof
ouer-charg'd,overcharged
sticke,stick
paines,pains
Hauing,having
ouer-take,overtake
briefe,brief
could'st,Couldst
wrack,wreck
hauing,having
aboarde,aboard
destin'd,destined
daigne,deign
Receiuing,Receiving
worthlesse,worthless
burie,bury
maiesties,majesty's
Madame,madam
necessitie,necessity
vertue,virtue
worthinesse,worthiness
Maiesties,majesty's
Laf,LAFEW
practises,practices
honestie,honesty
stretch'd,stretched
immortall,immortal
latelie,lately
hee,He
skilfull,skilful
vncleane,unclean
vertuous,virtuous
pitty,pity
tirrany,tyranny
sorrowes,sorrows
liuelihood,livelihood
cheeke,cheek
too,to
least,lest
liuing,living
holie,holy
enemie,enemy
Vnder,Under
checkt,checked
Farwell,Farewell
forg'd,forged
thoghts,thoughts
Mistris,mistress
Bertrams,Bertram's
prettie,pretty
browes,brows
hearts,heart's
capeable,capable
euerie,every
tricke,trick
Parrolles,Parolles
Vertues,virtue's
withall,Withal
ofte,oft
Par,PAROLLES
barracado,barricado
assailes,assails
virginitie,virginity
war-like,warlike
vndermine,undermine
Citty,city
mettall,mettle
highwayes,highways
Offendresse,offendress
payring,paring
ydle,idle
selfe-loue,self-love
yeare,year
glosse,gloss
Virginitie,Virginity
suted,suited
were,wear
eates,eats
iarring,jarring
christendomes,christendoms
starres,stars
Pag,PAGE
Hellen,Helen
needes,needs
safetie,safety
Paroll,PAROLLES
vppon,upon
vnthankfulnes,unthankfulness
leysure,leisure
praiers,prayers
vses,uses
designes,designs
beene,been
misse,miss
proiect,project
deceiue,deceive
fixt,fixed
Rodorigo,Roderigo
vnkindly,unkindly
should'st,shouldst
abhorre,Abhor
Rodo,RODERIGO
Off-capt,Off-capped
worsse,worse
louing,loving
Euades,Evades
stufft,stuffed
For-sooth,Forsooth
Arithmatician,arithmetician
Michaell,Michael
damn'd,damned
practise,practice
Souldiership,soldiership
Ciprus,Cyprus
remedie,remedy
Affin'd,affined
marke,mark
dutious,duteous
Weares,Wears
Casheer'd,cashiered
knaues,knaves
trym'd,trimmed
Formes,forms
Iudge,judge
natiue,native
Rod,RODERIGO
Clymate,climate
timerous,timorous
hoa,ho
Siginor,Signor
Familie,family
Gowne,gown
Cittizens,citizens
deuill,devil
Grand-sire,grandsire
worsser,worser
doores,doors
plainenesse,plainness
madnesse,madness
spirits,spirit
their,them
prophane,profane
Ia,IAGO
Gundelier,gondolier
saucie,saucy
sence,sense
Ciuilitie,civility
Reuerence,reverence
alreadie,already
producted,produced
embark'd,embarked
stands,stand
Fadome,fathom
Businesse,business
apines,pains
Sagitary,Sagittary
bitternesse,bitterness
deceaues,deceives
Charmes,charms
discouer,discover
heire,heir
kingdome,kingdom
imprison'd,imprisoned
touch'd,touched
scowle,scowl
alacke,alack
Cassibulan,Cassibelan
seru'd,served
cals,calls
Breedes,Breeds
Bed-chamber,bedchamber
receiuer,receiver
ministred,ministered
prais'd,praised
glasse,glass
grauer,graver
Childe,child
banish'd,banished
Proclaimes,Proclaims
electi,election
stolne,stolen
ghesse,guess
conuey'd,conveyed
slackely,slackly
Slies,Slys
Host,HOSTESS
imbost,embossed
deepe-mouth'd,deep-mouthed
Siluer,Silver
couldest,coldest
twentie,twenty
sent,scent
fleete,fleet
esteeme,esteem
warm'd,warmed
lyes,lies
foule,foul
Wrap'd,Wrapped
braue,brave
begger,beggar
Balme,Balm
burne,burn
heauenly,heavenly
readie,ready
wilt,Will't
apparrel,apparel
Perswade,Persuade
dreames,dreams
iourney,journey
Seruingman,Servingman
Lordshippe,lordship
happie,happy
doubtfull,doubtful
merrie,merry
anticke,antic
sirra,sirrah
affoords,affords
Sirra,Sirrah
suites,suits
drunkards,drunkard's
obseru'd,observed
lowe,low
curtesie,courtesy
ouer-ioyed,overjoyed
conuei'd,conveyed
despight,despite
dispatch'd,dispatched
seruingman,Servingman
gate,gait
counsell,counsel
Gods,God's
Lord,lordship
sacke,sack
sometime,sometimes
humor,humour
mightie,mighty
discent,descent
Slie,Sly
Beare-heard,bear-herd
Alewife,ale-wife
seruants,servants
becke,beck
shal,shall
trap'd,trapped
harnesse,harness
hawkes,hawks
Larke,lark
ecchoes,echoes
gray-hounds,greyhounds
strait,straight
wauing,waving
surpriz'd,surprised
liuelie,lively
deede,deed
roming,roaming
thornie,thorny
workmanlie,workmanly
waining,waning
inferiour,inferior
mightinesse,mightiness
wak'd,waked
goodlie,goodly
Leete,leet
seal'd,sealed
cal,call
seeme's,seems
abandon'd,abandoned
vndresse,undress
tarrie,tarry
Comedie,comedy
mcete,meet
congeal'd,congealed
melancholly,melancholy
barres,bars
harmes,harms
Comontie,comonty
Gouernour,Governor
Peter,Pedro
Leon,LEONATO
victorie,victory
atchieuer,achiever
deseru'd,deserved
remembred,remembered
Lambe,lamb
bettred,bettered
Leo,LEONATO
Bea,BEATRICE
Signior,Signor
armie,army
Beat,BEATRICE
bils,bills
challeng'd,challenged
Burbolt,bird-bolt
hee'l,he'll
victuall,victual
souldier,soldier
stuft,stuffed
foure,four
gouern'd,governed
and,an
Benedict,Benedick
approach'd,approached
Benedicke,Benedick
likenes,likeness
Bened,BENEDICK
askt,asked
honorable,honourable
Ben,BENEDICK
al,all
Disdaine,disdain
Bene,BENEDICK
loued,loved
Ladiship,ladyship
scratcht,scratched
signior,Signor
inuited,invited
praies,prays
leade,lead
Claud,CLAUDIO
hie,high
browne,brown
affoord,afford
vnhandsome,unhandsome
Clau,CLAUDIO
think'st,thinkest
truely,truly
buie,buy
enquier,inquire
eie,eye
Maie,May
batcheller,bachelor
necke,neck
marke,Mark
Leonatoes,Leonato's
worthie,worthy
feele,feel
maintaine,maintain
conceiued,conceived
doost,dost
hit's,hits
clapt,clapped
cal'd,called
trie,try
sauage,savage
vildely,vilely
Quiuer,quiver
faile,fail
mocke,mock
guardes,guards
Highnesse,highness
learne,learn
lik'd,liked
taske,task
roomes,rooms
louer,lover
booke,book
beganst,began'st
louest,lovest
incounter,encounter
behalfe,behalf
Chat,CHATILLON
kingdomes,kingdoms
possessi,possession
controuersie,controversy
iudg'd,judged
Abbies,abbeys
Borne,Born
claime,claim
slanderd,slandered
where,whe'er
mad-cap,madcap
findes,finds
moue,move
halfe-fac'd,half-faced
liu'd,lived
employ'd,employed
affaires,affairs
aduantage,advantage
preuaile,prevail
Betweene,Between
death-bed,deathbed
bequeath'd,bequeathed
Liedge,liege
Legittimate,legitimate
claim'd,claimed
Calfe,calf
Bast,BASTARD
looke,Look
It,I
Kneele,Kneel
mothers,mother's
gaue,gave
Plantaginet,Plantagenet
grandame,grandam
tho,though
Neere,Near
farre,far
Ioane,Joan
tooth-picke,toothpick
suffis'd,sufficed
sucke,suck
Sauing,Saving
drawes,draws
fupper,supper
worshipfull,worshipful
smacke,smack
ages,age's
horne,horn
Iames,James
slaue,slave
Gyant,Giant
vnreuerend,unreverend
Gour,GURNEY
toyes,toys
limmes,limbs
Cordelion,Coeur-de-lion
seduc'd,seduced
roome,room
husbands,husband's
vrg'd,urged
follie,folly
Subiected,Subjected
Richards,Richard's
winne,win
liues,lives
kinne,kin
sayd,said
Botes,BOATSWAIN
toppe-sale,topsail
Masters,Master's
Alon,ALONSO
Gon,GONZALO
vse,Use
Cabine,cabin
Cheerely,Cheerly
vnstanched,unstanched
Mari,MARINERS
Gonz,GONZALO
meerly,merely
widst,wid'st
smooth'd,smoothed
shap'd,shaped
Looking-glasse,looking-glass
wonton,wanton
curtail'd,curtailed
vnfashionable,unfashionable
weake,weak
Louer,lover
Villaine,villain
Prophesie,prophecy
Diue,Dive
th,the
Cla,CLARENCE
should,shall
Rich,RICHARD
tempts,tempers
Woodeulle,Woodville
deliuered,delivered
Deitie,deity
Chamberlaine,Chamberlain
Liuery,livery
and,An't
strooke,struck
iealious,jealous
whatsoe're,whatsoe'er
treade,tread
plaine,plain
Hast,HASTINGS
this,the
greeuous,grievous
pack'd,packed
Lyes,lies
steel'd,steeled
bussle,bustle
gaines,gains
doome,doom
Siracusa,Syracuse
partiall,partial
blouds,bloods
mortall,mortal
iarres,jars
Vnlesse,Unless
markes,marks
leuied,levied
Markes,marks
condemn'd,condemned
Siracusian,Syracusian
departedst,departed'st
cam'st,camest
witnesse,witness
increast,increased
Epidamium,Epidamnum
factors,factor's
randone,random
arriued,arrived
distinguish'd,distinguished
howre,hour
aboord,aboard
saild,sailed
